DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
239,2015,68.1,86.2,93.8,19.7,32.5,48.9,26.7,11.4,31.6,23.4,10.2,18.2,14.9,9.9,14.9,14.6,41.8,35.3,6.6,12.6,1.1,0
160,2015,48.8,54.7,86.6,32.9,11.5,51.4,6.8,3.3,39.4,15.8,5.2,34.8,30.6,25.6,9.7,11.3,47.3,40.3,3.3,3.9,0.7,0.7
536,2015,53.1,77.3,97.7,10.7,16.1,75.7,7.3,5.2,43.5,28.9,10.3,43.6,32.7,25.5,7.6,5.3,80,68.6,4.4,7.4,0.7,0.9
1071,2015,59.4,82,93,22,15,41.9,32.8,15.6,36.2,32.5,16.2,42.2,29.8,30,4.6,3.4,68.2,65.4,4.8,7.2,1.4,1.1
1004,2015,76,97.4,92,32.6,39.2,89.1,69.8,64.9,42.2,34.3,6.6,44.8,35.7,41.8,17.7,12.7,47.2,53,6.6,14.5,3,2.2
215,2015,57,64.2,93.6,0.3,21.2,28.4,6.6,1.1,46.9,18.9,7.8,42.6,25.1,23.4,6.4,5.2,64.3,54.1,1,1,0.1,1
198,2015,65.2,48.2,95.6,7.9,26.9,47.8,10.3,2.7,52.5,10.6,2.2,34.5,25.7,27.3,14.3,8.7,39.6,36.9,1.7,3.5,1,1.8
133,2015,72.7,95.1,94.8,32.4,24.1,78.4,33.5,27,40.9,26.5,13.4,43.2,30,28.1,18.4,13.7,79.6,62.9,5.8,10.2,1.1,2.5
158,2015,50,70,86.9,31.4,19.6,53,12.8,6.8,39.6,16.3,7,30.9,27.5,16.2,11.7,10.5,53.3,38.6,2.7,0,1,0.7
2025,2015,42.2,83.9,85,28.8,15.6,58.8,28.7,21.1,56.8,33.2,14.6,52.5,26.3,12.4,9.3,9.2,74.9,51.4,7.3,9.2,0.3,1
