Key, State Code, State name, District code, District name, Year,Chilli Area (000Ha),Chilli Production (000Tonnes),Dry Chillies Area (000Ha),Dry Chillies Production (000Tonnes),Paprika Area (000Ha),Paprika Production (000Tonnes),Methi Area (000Ha),Methi Production (000Tonnes),Ajwain Area (000Ha),Ajwain Production (000Tonnes),Karayat Area (000Ha),Karayat Production (000Tonnes),Cumin Area (000Ha),Cumin Production (000Tonnes),Black Cumin Area (000Ha),Black Cumin Production (000Tonnes),Fennel Area (000Ha),Fennel Production (000Tonnes),Fenugreek Area (000Ha),Fenugreek Production (000Tonnes),Isabgul Area (000Ha),Isabgul Production (000Tonnes),Suva Area (000Ha),Suva Production (000Tonnes),Dill Area (000Ha),Dill Production (000Tonnes),Tamarind Area (000Ha),Tamarind Production (000Tonnes),Clove Area (000Ha),Clove Production (000Tonnes),Cinnamom Area (000Ha),Cinnamom Production (000Tonnes),Cloves & Cinnamon Area (000Ha),Cloves & Cinnamon Production (000Tonnes),Vanilla Area (000Ha),Vanilla Production (000Tonnes),Mint Area (000Ha),Mint Production (000Tonnes),Betelvine Area (000Ha),Betelvine Production (000Tonnes),Pepper Area (000Ha),Pepper Production (000Tonnes),Red Pepper  Area (000Ha),Red Pepper  Production (000Tonnes),Black Pepper Area (000Ha),Black Pepper Production (000Tonnes),Radhuni Area (000Ha),Radhuni Production (000Tonnes),Cocoa Area (000Ha),Cocoa Production (000Tonnes),Ginger Area (000Ha),Ginger Production (000Tonnes),Ginger (Dry) Area (000Ha),Ginger (Dry) Production (000Tonnes),Garlic Area (000Ha),Garlic Production (000Tonnes),Turmeric Area (000Ha),Turmeric Production (000Tonnes),Cardamom Area (000Ha),Cardamom Production (000Tonnes),Coriander Area (000Ha),Coriander Production (000Tonnes),Other Spices Area (000Ha),Other Spices Production (000Tonnes),Total Spices Area (000Ha),Total Spices Production (000Tonnes),
196201512,12,Uttar Pradesh,196,Agra,2015,.,.,0.45,0.37,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.05,0.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.17,.,.,.,.,0.07,0.03,.,.,0.60,0.60,
196201612,12,Uttar Pradesh,196,Agra,2016,.,.,0.45,0.37,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.05,0.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.18,.,.,.,.,0.07,0.03,.,.,0.60,0.61,
197201312,12,Uttar Pradesh,197,Mainpuri,2013,.,.,0.11,0.09,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.09,0.01,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.87,46.08,0.06,0.18,.,.,0.16,0.09,.,.,8.30,46.53,
197201412,12,Uttar Pradesh,197,Mainpuri,2014,.,.,0.11,0.09,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.09,0.01,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.18,48.33,0.07,0.19,.,.,0.17,0.09,.,.,8.64,48.80,
197201512,12,Uttar Pradesh,197,Mainpuri,2015,.,.,0.23,0.18,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.10,0.01,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.02,47.01,.,.,.,.,0.17,0.09,.,.,8.53,47.38,
197201612,12,Uttar Pradesh,197,Mainpuri,2016,.,.,0.23,0.19,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.09,0.01,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.10,47.48,.,.,.,.,0.17,0.09,.,.,8.61,47.86,
198201312,12,Uttar Pradesh,198,Etah,2013,.,.,0.02,0.02,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.37,25.60,.,.,.,.,0.04,0.02,.,.,4.44,25.65,
198201412,12,Uttar Pradesh,198,Etah,2014,.,.,0.02,0.02,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.55,26.86,.,.,.,.,0.04,0.02,.,.,4.62,26.90,
198201512,12,Uttar Pradesh,198,Etah,2015,.,.,0.04,0.03,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.46,26.12,.,.,.,.,0.04,0.02,.,.,4.55,26.18,
198201612,12,Uttar Pradesh,198,Etah,2016,.,.,0.04,0.03,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.50,26.38,.,.,.,.,0.04,0.02,.,.,4.59,26.44,
