Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
4200814,4,2008,14,Chhattisgarh,Bilaspur,-1,1060,1137,-1,-1,817,-1,933,2218,2565,2488,4298,2339,-1,2672,2160,-1
4200914,4,2009,14,Chhattisgarh,Bilaspur,-1,1239,1221,-1,-1,841,-1,-1,1835,3225,3402,5917,1900,-1,-1,2583,-1
4201014,4,2010,14,Chhattisgarh,Bilaspur,985,1019,1217,1017,1613,-1,-1,800,2450,3199,4347,4904,2267,-1,2440,3146,-1
4201114,4,2011,14,Chhattisgarh,Bilaspur,-1,1077,1114,980,1420,1154,-1,-1,3794,3583,4234,4871,2604,-1,3233,3156,-1
4201214,4,2012,14,Chhattisgarh,Bilaspur,1708,1277,1437,3000,-1,1075,-1,2520,4195,3785,5563,7205,2991,-1,4803,3503,-1
4201314,4,2013,14,Chhattisgarh,Bilaspur,1922,1257,1585,3500,3233,2946,-1,3456,4185,4867,5421,7686,3036,-1,4685,4008,-1
4201414,4,2014,14,Chhattisgarh,Bilaspur,1997,1323,1594,1557,2085,1796,-1,1933,3885,5315,5856,11000,3827,2350,4320,3848,-1
4201514,4,2015,14,Chhattisgarh,Bilaspur,2197,1338,1917,1616,2500,2207,-1,2033,4940,8010,7003,8393,4416,2220,4457,3862,-1
4201614,4,2016,14,Chhattisgarh,Bilaspur,2312,1364,2115,1699,3500,1880,-1,2430,5646,4942,5689,7852,5190,-1,-1,4066,-1
5199014,5,1990,14,Chhattisgarh,Raigarh,353,191,302,-1,-1,198,-1,-1,696,791,800,1044,1042,-1,-1,715,-1
5199114,5,1991,14,Chhattisgarh,Raigarh,355,218,311,-1,-1,218,-1,-1,830,1039,968,1296,943,-1,-1,625,-1
