Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
3619976,36,1997,6,Madhya Pradesh,Khandwa,5.66,129.26,44.27,1010.46,-1,-1,1.07,24.42
3620036,36,2003,6,Madhya Pradesh,Khandwa,9.72,306.37,53.84,1696.9,0.14,4.44,3.32,104.49
3620076,36,2007,6,Madhya Pradesh,Khandwa,6.56,217.14,101.72,3369.11,-1,-1,2.33,77.04
3719926,37,1992,6,Madhya Pradesh,Sehore,3.32,89.9,30.13,815.79,0.83,22.5,2.7,73
3719976,37,1997,6,Madhya Pradesh,Sehore,2.76,73.58,37.43,998.08,-1,-1,4.79,127.66
3720036,37,2003,6,Madhya Pradesh,Sehore,11.26,294.65,32.62,853.88,0.65,16.94,7.71,201.78
3720076,37,2007,6,Madhya Pradesh,Sehore,7.57,196.53,51.18,1328.1,-1,-1,9.37,243.01
3819926,38,1992,6,Madhya Pradesh,Raisen,8.5,202.31,6.72,159.77,1.13,26.89,4.63,110.25
3819976,38,1997,6,Madhya Pradesh,Raisen,7.08,166.54,6.29,147.89,-1,-1,6.98,164.14
3820036,38,2003,6,Madhya Pradesh,Raisen,16.3,378.63,20.27,470.73,0.73,16.98,9.38,217.88
3820076,38,2007,6,Madhya Pradesh,Raisen,10.65,246.54,14.27,330.4,-1,-1,11.4,263.83
3919926,39,1992,6,Madhya Pradesh,Vidisha,10.63,203,5.42,103.47,1.63,31.04,5.66,108.04
3919976,39,1997,6,Madhya Pradesh,Vidisha,16.65,315.41,9.32,176.5,-1,-1,8.2,155.28
3920036,39,2003,6,Madhya Pradesh,Vidisha,30.83,576.25,10.78,201.44,0.53,9.81,13.71,256.32
3920076,39,2007,6,Madhya Pradesh,Vidisha,26.03,489.07,18.36,344.94,-1,-1,15.97,300.01
4019926,40,1992,6,Madhya Pradesh,Betul,5.69,138.71,24.41,595.46,0.38,9.24,1.03,25.22
4019976,40,1997,6,Madhya Pradesh,Betul,4.12,99.21,39.75,956.46,-1,-1,1.86,44.76
4020036,40,2003,6,Madhya Pradesh,Betul,10.56,263.33,51.92,1294.44,0.31,7.73,2.76,68.88
4020076,40,2007,6,Madhya Pradesh,Betul,5.56,132.84,42.51,1015.18,-1,-1,3.81,90.98
4119926,41,1992,6,Madhya Pradesh,Rajgarh,2.46,60.09,32.14,784.02,0.11,2.66,0.95,23.25
4119976,41,1997,6,Madhya Pradesh,Rajgarh,1.39,33.61,48.13,1166.16,-1,-1,2.05,49.67
4120036,41,2003,6,Madhya Pradesh,Rajgarh,8.26,196.81,69.38,1652.27,0.16,3.72,3.35,79.71
4120076,41,2007,6,Madhya Pradesh,Rajgarh,7.16,167.47,77.48,1811.66,-1,-1,4.52,105.76
4219926,42,1992,6,Madhya Pradesh,Shajapur,1.77,40.98,26.56,613.96,0.16,3.58,1.69,38.97
4219976,42,1997,6,Madhya Pradesh,Shajapur,1.88,42.73,41.47,942.91,-1,-1,3.97,90.27
4220036,42,2003,6,Madhya Pradesh,Shajapur,9.88,219.11,78.93,1750.85,0.24,5.3,7.23,160.41
4220076,42,2007,6,Madhya Pradesh,Shajapur,6.23,136.94,57.92,1273.88,-1,-1,7.06,155.22
4319926,43,1992,6,Madhya Pradesh,Hoshangabad,6.31,138.85,19.48,429.02,0.85,18.67,4.21,92.8
4319976,43,1997,6,Madhya Pradesh,Hoshangabad,4.12,89.54,22.62,491.14,-1,-1,8.48,184.03
4320036,43,2003,6,Madhya Pradesh,Hoshangabad,6.31,213.45,23.53,795.78,0.28,9.4,9,304.58
4320076,43,2007,6,Madhya Pradesh,Hoshangabad,4.2,139.07,18.55,614.45,-1,-1,11.54,382.08
