Key,State code,State name,District code,District name, Year, Purpose,Co-operative Number,Co-operative Capacity Mton,Public Number,Public Capacity Mton,Private Number,Private Capacity Mton,Total Number,Total Capacity Mton,
1320096,6,Madhya Pradesh,13,Sagar,2009,Multipurpose,.,.,.,.,1,1143,1,1143,
1320096,6,Madhya Pradesh,13,Sagar,2009,Potatoes,1,1930,.,.,2,1969,3,3899,
1520096,6,Madhya Pradesh,15,Tikamgarh,2009,Multipurpose,.,.,.,.,1,2181,1,2181,
1520096,6,Madhya Pradesh,15,Tikamgarh,2009,Multipurpose ,.,.,.,.,1,3082,1,3082,
1520096,6,Madhya Pradesh,15,Tikamgarh,2009,Potatoes,.,.,.,.,3,7887,3,7887,
1620096,6,Madhya Pradesh,16,Chattarpur,2009,Potatoes ,.,.,.,.,1,2346,1,2346,
1820096,6,Madhya Pradesh,18,Rewa,2009,Multipurpose,.,.,.,.,1,2200,1,2200,
1820096,6,Madhya Pradesh,18,Rewa,2009,Potatoes,.,.,.,.,1,972,1,972,
1920096,6,Madhya Pradesh,19,Sidhi,2009,Multipurpose,.,.,.,.,1,2128,1,2128,
2020096,6,Madhya Pradesh,20,Satna,2009,Multipurpose,.,.,.,.,2,5600,2,5600,
2020096,6,Madhya Pradesh,20,Satna,2009,Potatoes,.,.,.,.,3,5947,3,5947,
2120096,6,Madhya Pradesh,21,Shahdol,2009,Potatoes,.,.,.,.,1,400,1,400,
2120096,6,Madhya Pradesh,21,Shahdol,2009,Potatoes ,.,.,.,.,1,2210,1,2210,
2220096,6,Madhya Pradesh,22,Gwalior,2009,Multipurpose,.,.,.,.,4,10863,4,10863,
2220096,6,Madhya Pradesh,22,Gwalior,2009,Multipurpose ,.,.,.,.,9,42682,9,42682,
2220096,6,Madhya Pradesh,22,Gwalior,2009,Potatoes ,.,.,.,.,4,12609,4,12609,
2320096,6,Madhya Pradesh,23,Shivpuri,2009,Multipurpose,.,.,.,.,1,3000,1,3000,
2620096,6,Madhya Pradesh,26,Morena,2009,Dairy Products,1,572,.,.,.,.,1,572,
2620096,6,Madhya Pradesh,26,Morena,2009,Multipurpose,.,.,.,.,3,10000,3,10000,
2620096,6,Madhya Pradesh,26,Morena,2009,Potatoes,.,.,.,.,7,29075,7,29075,
2620096,6,Madhya Pradesh,26,Morena,2009,Potatoes ,.,.,.,.,1,4000,1,4000,
2720096,6,Madhya Pradesh,27,Bhind,2009,Dairy Products ,.,.,1,292,.,.,1,292,
2720096,6,Madhya Pradesh,27,Bhind,2009,Multipurpose,.,.,.,.,3,10838,3,10838,
2720096,6,Madhya Pradesh,27,Bhind,2009,Multipurpose ,.,.,.,.,2,7398,2,7398,
2720096,6,Madhya Pradesh,27,Bhind,2009,Potatoes ,.,.,.,.,5,18355,5,18355,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Dairy Products ,.,.,1,334,4,1588,5,1922,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Frozen Foods,.,.,.,.,1,444,1,444,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Multipurpose,1,16000,.,.,6,28700,7,44700,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Others,.,.,1,13,.,.,1,13,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Potatoes,11,63243,.,.,41,287455,52,350698,
2820096,6,Madhya Pradesh,28,"Indore (Includes Dhar, Dewas)",2009,Potatoes ,.,.,.,.,3,22500,3,22500,
3020096,6,Madhya Pradesh,30,Ujjain,2009,Dairy Products,.,.,1,64,.,.,1,64,
3020096,6,Madhya Pradesh,30,Ujjain,2009,Dairy Products ,.,.,.,.,1,54,1,54,
3020096,6,Madhya Pradesh,30,Ujjain,2009,Multipurpose,.,.,.,.,1,5031,1,5031,
3020096,6,Madhya Pradesh,30,Ujjain,2009,Potatoes,2,11000,.,.,5,26162,7,37162,
3020096,6,Madhya Pradesh,30,Ujjain,2009,Potatoes ,.,.,.,.,1,3000,1,3000,
3620096,6,Madhya Pradesh,36,Khandwa,2009,Frozen Fruit & Frozen Vegetables,.,.,.,.,1,198,1,198,
3620096,6,Madhya Pradesh,36,Khandwa,2009,Potatoes,.,.,.,.,1,819,1,819,
4220096,6,Madhya Pradesh,42,Shajapur,2009,Potatoes,.,.,.,.,3,28662,3,28662,
107620097,7,Maharashtra,1076,Mumbai ,2009,Dailry Products,.,.,.,.,1,14,1,14,
107620097,7,Maharashtra,1076,Mumbai ,2009,Dairy Products,2,2260,4,4239,7,507,13,7006,
107620097,7,Maharashtra,1076,Mumbai ,2009,Marine Products ,2,542,.,.,4,840,6,1382,
107620097,7,Maharashtra,1076,Mumbai ,2009,Meat,.,.,1,232,3,558,4,790,
107620097,7,Maharashtra,1076,Mumbai ,2009,Multipurpose,.,.,4,359,18,10112,22,10471,
107620097,7,Maharashtra,1076,Mumbai ,2009,Multipurpose ,.,.,.,.,1,700,1,700,
107620097,7,Maharashtra,1076,Mumbai ,2009,Other (Hotel),.,.,.,.,1,708,1,708,
107620097,7,Maharashtra,1076,Mumbai ,2009,Others,.,.,1,92,.,.,1,92,
107620097,7,Maharashtra,1076,Mumbai ,2009,Others (Hotel),.,.,1,338,21,1550,22,1888,
9720097,7,Maharashtra,97,Raigad ,2009,Dairy Products ,.,.,1,72,1,218,2,290,
9720097,7,Maharashtra,97,Raigad ,2009,"Frozen Veg., Meat & Seafoods",.,.,.,.,1,1815,1,1815,
9720097,7,Maharashtra,97,Raigad ,2009,Fruit & Vegetable ,.,.,.,.,1,600,1,600,
9720097,7,Maharashtra,97,Raigad ,2009,Marine Products,.,.,.,.,7,12426,7,12426,
9720097,7,Maharashtra,97,Raigad ,2009,Marine Products ,.,.,.,.,2,2236,2,2236,
9720097,7,Maharashtra,97,Raigad ,2009,Meat,.,.,.,.,1,997,1,997,
