Key,  State Code,  State name,  District code,  District name,  Year, Potato Area (000Ha), Potato Production (000Tonnes), Sweet Potato Area (000Ha), Sweet Potato Production (000Tonnes), Onion Area (000Ha), Onion Production (000Tonnes), Green onion Area (000Ha), Green onion Production (000Tonnes), Tomato Area (000Ha), Tomato Production (000Tonnes), Ladys finger Area (000Ha), Ladys finger Production (000Tonnes), Brinjal Area (000Ha), Brinjal Production (000Tonnes), Cauliflower Area (000Ha), Cauliflower Production (000Tonnes), Cabbage Area (000Ha), Cabbage Production (000Tonnes), Knol Khol Area (000Ha), Knol Khol Production (000Tonnes), Pumpkin Area (000Ha), Pumpkin Production (000Tonnes), Mushroom Area (000Ha), Mushroom Production (000Tonnes), Drum Stick Area (000Ha), Drum Stick Production (000Tonnes), Ridge Gourd Area (000Ha), Ridge Gourd Production (000Tonnes), Ghosali Area (000Ha), Ghosali Production (000Tonnes), Sponge Gourd Area (000Ha), Sponge Gourd Production (000Tonnes), Bottle Gourd Area (000Ha), Bottle Gourd Production (000Tonnes), Bitter Gourd Area (000Ha), Bitter Gourd Production (000Tonnes), Snake gourd Area (000Ha), Snake gourd Production (000Tonnes), Tinda Area (000Ha), Tinda Production (000Tonnes), Kundru/Perwal Area (000Ha), Kundru/Perwal Production (000Tonnes), Cucurbits Area (000Ha), Cucurbits Production (000Tonnes), Pointed gourd Area (000Ha), Pointed gourd Production (000Tonnes), Ashgourd Area (000Ha), Ashgourd Production (000Tonnes), Little Gourd Area (000Ha), Little Gourd Production (000Tonnes),Gourds &  Coccinia Area (000Ha),Gourds &  Coccinia Production (000Tonnes),Other Gourd Varieties Area (000Ha),Other Gourd Varieties Production (000Tonnes), Gourds Area (000Ha), Gourds Production (000Tonnes), Cowpea Area (000Ha), Cowpea Production (000Tonnes), Green Peas Area (000Ha), Green Peas Production (000Tonnes), Peas Area (000Ha), Peas Production (000Tonnes), Cluster beans Area (000Ha), Cluster beans Production (000Tonnes), Beans Area (000Ha), Beans Production (000Tonnes), French Bean Area (000Ha), French Bean Production (000Tonnes),Beans (All Inc Lab-lab(Sem) Area (000Ha),Beans (All Inc Lab-lab(Sem) Production (000Tonnes), Lab Lab Area (000Ha), Lab Lab Production (000Tonnes), Avarai Area (000Ha), Avarai Production (000Tonnes), Karamani Area (000Ha), Karamani Production (000Tonnes), Mogri Area (000Ha), Mogri Production (000Tonnes), Kakri Area (000Ha), Kakri Production (000Tonnes), Kheera Area (000Ha), Kheera Production (000Tonnes), Gherkins Area (000Ha), Gherkins Production (000Tonnes),Long melon (Kakri) Area (000Ha),Long melon (Kakri) Production (000Tonnes), Kachari Area (000Ha), Kachari Production (000Tonnes), Cucumber Area (000Ha), Cucumber Production (000Tonnes), Leafy Veg. Area (000Ha), Leafy Veg. Production (000Tonnes), Spinach (Palak) Area (000Ha), Spinach (Palak) Production (000Tonnes), Math/Rajgira Area (000Ha), Math/Rajgira Production (000Tonnes), Methi Area (000Ha), Methi Production (000Tonnes), Amaranthus Area (000Ha), Amaranthus Production (000Tonnes), Jimikand Area (000Ha), Jimikand Production (000Tonnes), Yam Area (000Ha), Yam Production (000Tonnes), Elephant Yam Area (000Ha), Elephant Yam Production (000Tonnes), Ratalu Area (000Ha), Ratalu Production (000Tonnes), Tapioca Area (000Ha), Tapioca Production (000Tonnes), Amorphospholus Area (000Ha), Amorphospholus Production (000Tonnes), Mooli Area (000Ha), Mooli Production (000Tonnes), Colocasia Area (000Ha), Colocasia Production (000Tonnes), Arbi Area (000Ha), Arbi Production (000Tonnes), Turnip Area (000Ha), Turnip Production (000Tonnes), Radish Area (000Ha), Radish Production (000Tonnes), Carrot Area (000Ha), Carrot Production (000Tonnes),"Radish, Turnip & Carrot Area (000Ha)","Radish, Turnip & Carrot Production (000Tonnes)","  Root 
crops Area (000Ha)","  Root 
crops Production (000Tonnes)",Other Root crops Area (000Ha),Other Root crops Production (000Tonnes), Beetroot Area (000Ha), Beetroot Production (000Tonnes), Wall (pawata) Area (000Ha), Wall (pawata) Production (000Tonnes), Wal Area (000Ha), Wal Production (000Tonnes), Vine Crops Area (000Ha), Vine Crops Production (000Tonnes), Oal Area (000Ha), Oal Production (000Tonnes), Green Chillies Area (000Ha), Green Chillies Production (000Tonnes),Capsicum &  Chillies Area (000Ha),Capsicum &  Chillies Production (000Tonnes), Capsicum Area (000Ha), Capsicum Production (000Tonnes), Shimla Mirchi Area (000Ha), Shimla Mirchi Production (000Tonnes), Water Melon Area (000Ha), Water Melon Production (000Tonnes), Musk Melon Area (000Ha), Musk Melon Production (000Tonnes), Turmeric Area (000Ha), Turmeric Production (000Tonnes), Garlic Area (000Ha), Garlic Production (000Tonnes), Curry leaves Area (000Ha), Curry leaves Production (000Tonnes), Mint Area (000Ha), Mint Production (000Tonnes),Green Coriander Area (000Ha),Green Coriander Production (000Tonnes),Other Vegetables Area (000Ha),Other Vegetables Production (000Tonnes),Total  Vegetables Area (000Ha),Total  Vegetables Production (000Tonnes),
238200916,16,Uttarakhand,238,Almora,2009,2.41,53.08,.,.,0.23,1.49,.,.,0.28,4.85,0.15,1.36,0.10,0.94,0.23,2.32,0.23,3.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,3.37,.,.,.,.,0.57,4.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,15.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.41,1.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.58,3.52,6.59,95.58,
238201016,16,Uttarakhand,238,Almora,2010,2.42,53.72,.,.,0.24,1.55,.,.,0.28,4.90,0.15,1.37,0.01,0.93,0.23,2.31,0.24,3.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,3.41,.,.,.,.,0.57,4.49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,15.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.41,1.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.59,3.62,6.55,96.73,
238201116,16,Uttarakhand,238,Almora,2011,2.43,53.75,.,.,0.24,1.57,.,.,0.29,4.92,0.15,1.37,0.10,0.93,0.23,2.33,0.25,3.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.62,3.48,.,.,.,.,0.58,4.53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.81,15.71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.41,1.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.58,3.64,6.69,97.03,
238201216,16,Uttarakhand,238,Almora,2012,2.44,53.80,.,.,0.25,1.60,.,.,0.31,4.93,0.15,1.37,0.10,0.93,0.24,2.35,0.25,3.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.63,3.50,.,.,.,.,0.59,4.56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.83,15.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.42,1.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.59,3.68,6.80,97.30,
238201316,16,Uttarakhand,238,Almora,2013,2.44,53.80,.,.,0.25,1.60,.,.,0.31,4.93,0.15,1.37,0.10,0.93,0.24,2.36,0.26,3.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.63,3.51,.,.,.,.,0.59,4.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.83,15.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.42,1.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,3.69,6.82,97.35,
238201416,16,Uttarakhand,238,Almonda,2014,2.44,53.81,.,.,0.25,1.60,.,.,0.31,4.93,0.16,1.37,0.10,0.93,0.24,2.36,0.26,3.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.63,3.51,.,.,.,.,.,.,0.59,4.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.83,15.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.42,1.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,3.69,6.85,97.38,
238201516,16,Uttarakhand,238,Almonda,2015,2.44,53.81,.,.,0.26,1.61,.,.,0.32,4.94,0.16,1.37,0.11,0.94,0.25,2.26,0.27,3.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.64,3.52,.,.,.,.,.,.,0.60,4.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.84,15.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.42,1.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,3.70,6.88,97.32,
238201616,16,Uttarakhand,238,Almonda,2016,2.46,54.24,.,.,0.27,1.53,.,.,0.33,4.95,0.16,1.38,0.11,0.94,0.26,2.27,0.28,3.56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.65,3.53,.,.,.,.,.,.,0.60,4.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.84,15.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.43,1.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,4.21,6.94,98.40,
239200216,16,Uttarakhand,239,Pithoragarh,2002,.,.,.,.,0.16,1.59,.,.,0.17,2.06,0.19,3.13,0.09,0.43,0.06,0.14,0.20,4.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,1.30,.,.,.,.,0.16,1.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22,3.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,2.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.51,3.17,2.05,24.56,
239200316,16,Uttarakhand,239,Pithoragarh,2003,.,.,.,.,0.41,4.05,.,.,0.40,3.98,0.26,2.56,0.04,0.39,0.08,0.76,0.33,3.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,4.00,.,.,.,.,0.53,5.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.63,6.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.34,3.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,4.02,3.80,38.00,
239200416,16,Uttarakhand,239,Pithoragarh,2004,.,.,.,.,0.45,1.69,.,.,0.31,6.63,0.26,2.48,0.04,0.41,0.14,0.86,0.26,5.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.46,2.56,.,.,.,.,0.81,6.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.51,9.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,3.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,3.45,4.20,42.00,
239200516,16,Uttarakhand,239,Pithoragarh,2005,.,.,.,.,0.46,4.58,.,.,0.47,4.70,0.27,2.66,0.05,0.49,0.09,0.94,0.42,4.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.51,5.07,.,.,.,.,0.62,6.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.69,6.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.36,3.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.43,4.28,4.35,43.47,
239200616,16,Uttarakhand,239,Pithoragarh,2006,.,.,.,.,0.49,4.88,.,.,0.55,5.44,0.29,2.93,0.06,0.80,0.11,1.41,0.50,4.99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.54,5.12,.,.,.,.,0.66,6.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,7.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.37,3.69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.46,4.53,4.81,47.98,
239200716,16,Uttarakhand,239,Pithoragarh,2007,.,.,.,.,0.50,4.96,.,.,0.55,5.52,0.30,3.00,0.07,0.91,0.11,1.52,0.51,5.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,5.20,.,.,.,.,0.68,6.34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.81,8.06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.38,3.79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.47,4.67,4.92,49.10,
239200816,16,Uttarakhand,239,Pithoragarh,2008,.,.,.,.,0.51,5.03,.,.,0.56,5.60,0.31,3.08,0.07,1.02,0.12,1.63,0.53,5.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,5.30,.,.,.,.,0.69,6.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.82,8.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.39,3.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.49,4.83,5.03,50.27,
239200916,16,Uttarakhand,239,Pithoragarh,2009,1.77,39.89,.,.,0.41,4.08,.,.,0.56,5.54,0.31,3.09,0.07,0.95,0.11,1.43,0.65,6.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,1.93,.,.,.,.,0.63,5.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.78,7.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.39,3.85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.45,4.57,6.31,85.44,
239201016,16,Uttarakhand,239,Pithoragarh,2010,1.77,40.90,.,.,0.41,4.62,.,.,0.85,9.80,0.40,4.80,0.17,2.94,0.07,0.80,0.68,9.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.14,.,.,.,.,0.85,9.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.79,9.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.37,4.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,14.00,7.07,112.30,
239201116,16,Uttarakhand,239,Pithoragarh,2011,1.78,45.30,.,.,0.40,4.60,.,.,0.86,9.90,0.40,4.65,0.17,2.90,0.07,0.77,0.67,9.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.14,.,.,.,.,0.86,9.81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.79,9.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.38,4.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,14.10,7.08,116.55,
239201216,16,Uttarakhand,239,Pithoragarh,2012,1.70,42.00,.,.,0.40,4.00,.,.,0.75,7.80,0.35,3.80,0.16,2.30,0.04,0.34,0.63,7.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.07,.,.,.,.,0.85,9.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,8.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.33,3.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,12.60,6.67,102.32,
239201316,16,Uttarakhand,239,Pithoragarh,2013,1.70,42.01,.,.,0.40,4.00,.,.,0.75,7.81,0.35,3.80,0.16,2.31,0.04,0.34,0.64,7.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.07,.,.,.,.,0.85,9.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,8.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.33,3.51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,12.61,6.68,102.37,
239201416,16,Uttarakhand,239,Phithoragarh,2014,1.78,45.72,.,.,0.41,4.81,.,.,0.86,10.31,0.41,4.61,0.18,2.93,0.08,0.81,0.67,9.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.16,.,.,.,.,.,.,0.86,9.82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,9.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.38,4.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,14.42,7.14,118.06,
239201516,16,Uttarakhand,239,Phithoragarh,2015,1.78,45.72,.,.,0.41,4.81,.,.,0.86,10.31,0.41,4.61,0.18,2.93,0.08,0.81,0.67,9.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,1.16,.,.,.,.,.,.,0.86,9.82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,9.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.38,4.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,14.42,7.14,118.06,
239201616,16,Uttarakhand,239,Phithoragarh,2016,1.81,45.73,.,.,0.41,4.82,.,.,0.87,10.33,0.41,4.62,0.18,2.94,0.08,0.83,0.68,9.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,1.18,.,.,.,.,.,.,0.86,9.84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,9.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.39,4.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,14.43,7.19,118.22,
240200216,16,Uttarakhand,240,Chamoli,2002,.,.,.,.,0.02,0.20,.,.,0.08,0.73,0.09,1.31,0.12,1.43,0.02,0.23,0.12,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.96,.,.,.,.,0.11,0.81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.11,1.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,4.98,1.06,14.47,
240200316,16,Uttarakhand,240,Chamoli,2003,.,.,.,.,0.12,1.50,.,.,0.09,1.27,0.04,0.50,0.05,0.73,0.01,0.23,0.12,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.96,.,.,.,.,0.13,0.83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.11,1.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,4.98,1.06,14.34,
240200416,16,Uttarakhand,240,Chamoli,2004,.,.,.,.,0.29,1.28,.,.,0.16,3.06,0.11,0.63,0.17,1.98,0.14,1.68,0.15,2.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26,2.08,.,.,.,.,0.19,1.14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26,4.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,1.24,2.08,20.23,
240200516,16,Uttarakhand,240,Chamoli,2005,.,.,.,.,0.29,2.33,.,.,0.23,2.80,0.11,0.68,0.17,2.01,0.15,1.79,0.25,3.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.29,2.30,.,.,.,.,0.20,1.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,3.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,1.78,2.22,21.44,
240200616,16,Uttarakhand,240,Chamoli,2006,.,.,.,.,0.29,2.33,.,.,0.26,3.16,0.12,0.73,0.17,2.01,0.19,2.27,0.31,3.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,2.54,.,.,.,.,0.21,1.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,3.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,1.86,2.42,23.47,
